Palabra,Definición
Abnegado,
Abstruso,Que es dificil de comprender
Abyecto,Que comete actos despreciables o viles.
Acribia,
Acucioso,"Diligente, solícito, presuroso."
Acuidad,Agudeza.
Acurado,Cuidadoso y esmerado.
Admonitor,Que sirve para amonestar o tiene carácter de admonición.
Aducir,"Presentar o alegar pruebas, razones, etc."
Advenedizo,"Que se ha introducido en una posición, un ambiente o una actividad que no le corresponde por capacidad."
Aflicción,Abatimiento y tristeza.
Agnotología,
Albéitar,"Nombre que se daba antiguamente al veterinario; se usa todavía hoy en algunas zonas de España, especialmente en el ámbito rural."
Alborozo,Extraordinario desorden. Extraordinario regocijo o alegría.
Aldabonazo,
Algara,Tropa de a caballo que salía a correr y saquear la tierra del enemigo.
Algazara,"Ruido, gritería de una o de muchas personas juntas, que por lo común nace de alegría. Vocería de los moros y de otras tropas, al sorprender o acometer al enemigo."
Allende,Más allá de.
Altanero,Que se cree superior a los que le rodean por su posición social o económica o por alguna cualidad especial y que lo demuestra con un trato distante o despreciativo hacia los demás.
Altozano,Cerro o monte de poca altura en terreno llano.
Anacoreta,"Persona que vive en lugar solitario, entregada enteramente a la contemplación y a la penitencia."
Anatema,"Maldición, imprecación."
Anatematizar,"Condenar o reprobar a una persona o una cosa (actitud, ideología, etc.) que se considera perjudicial."
Apócrifo,Falso o fingido.
Apodíctico,"Incondicionalmente cierto, necesariamente válido."
Apologética,
Apoltronado,Que está cómodamente instalado y sin ganas de nuevas actividades.
Apóstata,Persona que abandona sus ideales o su religión públicamente para seguir otros diferentes.
Arbitrio,
Ardid,Acción hábil con que se pretende engañar a alguien o conseguir algo.
Autólogo,
Avezado,"Ducho, experimentado en algo."
Avisado,
Ayo,Persona encargada en las casas principales de custodiar niños o jóvenes y de cuidar de su crianza y educación.
Baldón,
Blenorragia,Gonorrea.
Bogar,Remar.
Cándido,"Ingenuo, que no tiene malicia ni doblez."
Capitular,"Pactar, hacer algún ajuste o concierto. Dicho de una plaza de guerra o de un cuerpo de tropas. Entregarse bajo determinadas condiciones."
Carpetovetónico,Considerado como característico de la España profunda frente a todo influjo foráneo.
Celaje,"Aspecto que presenta el cielo cuando hay nubes tenues y de varios matices. Claraboya o ventana. Presagio, anuncio o principio de lo que se espera o desea."
Cerviz,"Parte posterior del cuello de una persona o animal, que recubre las vértebras cervicales."
Chafarrinón,Mancha o borrón que desluce una cosa.
Chovinismo,Exaltación desmesurada de lo nacional frente a lo extranjero.
Circunstante,Que está alrededor.
Cirineo,Persona que ayuda a otra.
Componenda,"Solución o arreglo incompleto o provisional de un asunto, especialmente el censurable o de carácter inmoral acordado entre varias personas."
Concitar,Promover [una persona o cosa] sentimientos o actitudes hacia sí misma o hacia otros.
Concupiscencia,"Deseo de bienes materiales o terrenos, en especial deseo sexual exacerbado o desordenado."
Confutar,
Convaleciente,Que está recuperando la salud después de una enfermedad o de un tratamiento médico.
Correligionario,
Cronotopo,
Crujía,
Cyclodiatomía,"Calculo, computo o conjetura de la dirección de algunos proyectiles, balas o de los dardos relacionado con la balística y también el efecto de los disparos y los tiros en cualquier arma de fuego."
Dadiva,Cosa que se da como regalo.
Debelar,
Decuplicado,Hacer diez veces mayor algo o multiplicarlo por diez.
Defección,Acción de separarse con deslealtad de la causa o parcialidad a que se pertenecía.
Demasía,Exceso de algo.
Dendrología,
Desmonte,
Detersorio,Que tiene virtud de limpiar o purificar.
Dialéctico,Persona con especial capacidad para debatir y argumentar.
Difalangarquía,Formación conformada por dos falanges.
Diletante,"Que cultiva algún campo del saber, o se interesa por él, como aficionado y no como profesional."
Dispepsia,Enfermedad crónica caracterizada por la digestión laboriosa e imperfecta.
Dolo,Voluntad deliberada de cometer un delito a sabiendas de su ilicitud.
Domeñador,Domador.
Donoso,Que tiene donaire y gracia.
Educir,"Sacar algo de otra cosa, deducir."
Efugio,"Evasión, salida, recurso para sortear una dificultad."
Efusión,"Derramamiento de un líquido, y más comúnmente de la sangre."
Egregio,"Insigne, ilustre."
Empero,Indica que lo que se expresa contradice las conclusiones que se esperarían de lo que se ha dicho anteriormente.
Encopetado,
Endónimo,Nombre con el que un lugar es denominado en la lengua vernácula.
Engastado,
Enhiesto,"Levantado, derecho."
Entrevero,
Envarado,Que se comporta con arrogancia y poca naturalidad.
Epatar,Producir asombro o admiración.
Epifenómeno,Fenómeno accesorio que acompaña al fenómeno principal y que no tiene influencia sobre él.
Eremita,Ermitaño.
Ergotismo,Conjunto de síntomas producidos por la intoxicación con cornezuelo de centeno.
Erotema,Figura retórica que consiste en formular una pregunta para la cual no se espera realmente una respuesta.
Escatología,Conjunto de creencias y doctrinas referentes a la vida de ultratumba.
Escudilla,"Recipiente pequeño con forma de media esfera, parecido a un tazón, que se usa para tomar la sopa y otros alimentos caldosos."
Espurio,Bastardo.
Estajanovismo,
Estentórea,Que es muy fuerte y ruidoso o que retumba.
Estilita,monje cristiano solitario que vivían en el Medio Oriente a partir del siglo V y tenían la particularidad de transcurrir su vida de oración y penitencia sobre una plataforma colocada en la cima de una columna.
Estío,Verano.
Eutaxia,
Excogitar,Hallar o encontrar algo con el discurso y la meditación.
Excrecencia,"Protuberancia, generalmente carnosa, que se produce en animales y plantas, alterando su textura y superficie natural."
Exégeta,"Persona que expone o interpreta un texto, especialmente la Biblia."
Exordio,
Extemporaneo,
Factótum,Persona de plena confianza de otra y que en nombre de esta despacha sus principales negocios.
Fautor,Persona que favorece y ayuda a otra.
Filatelia,
Filiación,
Filodoxo,Amante de la opinión.
Fisonomía,Aspecto exterior de las cosas.
Francmasón,Persona perteneciente a la masonería.
Fraseología,"Conjunto de modos de expresión peculiares de una lengua, de un grupo, de una época, actividad o individuo. verborrea."
Gibelino,"En la Edad Media italiana, partidario de los emperadores de Alemania y enfrentado a los güelfos, defensores de los papas"
Guarismo,Perteneciente o relativo a los números.
Haragán,"Que tiene poca disposición para hacer algo que requiere esfuerzo o constituye una obligación, especialmente trabajar."
Hedir,
Herético,"Que contiene, implica o defiende herejías."
Hermeneutica,Técnica o método de interpretación de textos.
Herrumbrosa,Que tiene herrumbre.
Heterodoxo,"Discrepante de la doctrina fundamental de un sistema político, filosófico, etc."
Heurística,Método para aumentar el conocimiento.
Hipalage,
Hiperbóreo,"Dicho de una región, muy septentrional."
Hipotiposis,
Histrión,"Actor de teatro, en especial cuando interpreta a su personaje exagerando sus reacciones y sentimientos."
Holismo,Doctrina que propugna la concepción de cada realidad como un todo distinto de la suma de las partes que lo componen.
Imprecar,Expresar vivamente el deseo de que alguien sufra un daño o un mal.
Incognoscible,Que no se puede conocer.
Indefectible,Que no puede faltar o dejar de ser.
Inextricable,"Que no se puede desenredar, muy intrincado y confuso."
Inicuo,
Inicuo,"Contrario a la equidad, malvado, injusto."
Insipiencia,
Invectiva,Discurso o escrito acre y violento contra alguien o algo.
Inverecundo,
Inveterada,
Jarabardo,
Languidez,Belleza enfermiza.
Latrocinio,"Hurto o fraude, especialmente el que se comete contra bienes públicos."
Legista,Persona que es especialista en jurisprudencia.
Leguleyo,Persona que se ocupa de cuestiones legales sin tener los conocimientos o la especialización suficientes.
Letanía,Lista o enumeración larga y monótona. Oración dialogada compuesta por una serie de súplicas o invocaciones breves a Dios o a los santos que una persona recita o canta y que las demás personas que participan en la oración repiten o contestan.
Lisérgico,
Lisonjear,Alabar de forma exagerada y generalmente interesada a una persona para conseguir un favor o para ganar su voluntad.
Logorragia,
Manlieva,
Marasmo,
Marmita,Recipiente de la familia de las ollas que dispone de una tapa para aprovechar el vapor.
Matadura,
Matrero,
Mayestático,Perteneciente o relativo a la majestad.
Mayéutica,"Método socrático con que el maestro, mediante preguntas, va haciendo que el discípulo descubra nociones que en él estaban latentes."
Mefítica,Que resulta perjudicial para la persona que lo respira.
Menesteroso,Que no tiene lo necesario para vivir o lo tiene con escasez.
Menestral,
Mentar,
Mentecato,Que es tonto o tiene escaso juicio.
Mies,
Molicie,Comodidad y regalo moralmente excesivos en la manera de vivir.
Munificencia,
Nefanda,"Dicho de una cosa, que causa repugnancia u horror hablar de ella."
Nesciencia,
Notafilia,
Numismástica,
Óbice,"Obstáculo, embarazo, estorbo, impedimento."
Ominoso,Abominable o despreciable.
Oprobio,
Oprobio,"Ignominia, afrenta, deshonra."
Panegírico,"En oratoria, discurso o sermón en alabanza de algo o de alguien."
Paradiástole,Figura retórica que consiste en poner en contraste palabras de significado muy parecido.
Paralogismo,Razonamiento falso.
Parénesis,Exhortación o amonestación.
Pasquín,
Pendolista,Persona que escribe con muy buena letra. Escritor de memoriales.
Perentorio,
Pérfido,Que es desleal a alguien que confía en él y muy malo.
Pergreñar,
Periclitar,Perder una cosa fuerza o intensidad.
Peripatético,Que sigue la filosofía o doctrina de Aristóteles. Prostituta callejera.
Pernicioso,Que causa mucho daño o es muy perjudicial.
Perorar,Pronunciar un discurso u oración.
Petulancia,Vana y exagerada presunción.
Plétora,Exceso de sangre o de otros líquidos orgánicos en el cuerpo o en una parte de él. Gran abundancia de algo
Plúmbeo,Muy aburrido o pesado.
Poliorcética,
Portante,Que se realiza moviendo las extremidades de un mismo lado a la vez.
Preceptor,Persona que enseña.
Predicamento,
Preeminencia,"Privilegio, exención o ventaja de que goza una persona por razón o mérito especial."
Prentorio,
Preterir,Hacer caso omiso de una persona o una cosa.
Pretil,"Muro protector de poca altura a los lados de un puente o en el borde de una terraza, balcón, etc., construido para preservar de caídas. Paseo a lo largo de ese muro."
Prócer,
Promontorio,Elevación del terreno o monte de poca altura.
Propedéutica,Enseñanza preparatoria para el estudio de una disciplina.
Proterva,Que se obstina en la maldad.
Proxemia,
Prurito,Deseo persistente y excesivo de hacer algo de la mejor manera posible.
Qualia,Cualidades sensoriales subjetivas (como la rojez de un objeto rojo) que acompañan nuestra percepción.
Ralea,"Especie, clase o condición de una persona o una cosa."
Refrendar,
Renquear,"Andar mal o con dificultad por daño, discapacidad o dolor en una pierna, en una pata o en un pie, inclinando el cuerpo hacia un lado más que hacia otro."
Saja,Cortadura hecha en la carne.
Sánscrito,"El sánscrito es la lengua clásica de la India, además de una de las lenguas indoeuropeas documentadas más antiguas, después del hitita y el griego micénico."
Sedición,"Alzamiento colectivo y violento contra la autoridad, el orden público o la disciplina militar, sin llegar a la gravedad de la rebelión."
Simonía,"Compra o venta deliberada de cosas espirituales, como los sacramentos y sacramentales, o temporales inseparablemente anejas a las espirituales, como las prebendas y beneficios eclesiásticos."
Sincretismo,"Combinación de distintas teorías, actitudes u opiniones."
Sindéresis,"Discreción, capacidad natural para juzgar rectamente."
Sinecura,Empleo o cargo retribuido que ocasiona poco o ningún trabajo.
Sínodo,Concilio de los obispos.
Sofisma,Razón o argumento falso con apariencia de verdad.
Solipsismo,Forma radical de subjetivismo según la cual solo existe aquello de lo que es consciente el propio yo.
Somero,"Ligero, superficial, hecho con poca meditación y profundidad."
Subsumir,Considerar algo como parte de un conjunto más amplio o como caso particular sometido a un principio o norma general.
Sucinto,"Breve, compendioso."
Superchería,"Engaño, dolo, fraude. Injuria o violencia hecha con abuso manifiesto o alevoso de fuerza."
Sursumcorda,
Taumaturgo,Mago.
Teleología,"Creencia en que la marcha del universo es como un orden de fines que las cosas tienden a realizar, y no una sucesión de causas y efectos. La teleología se opone al mecanicismo. Estudio de las causas finales."
Teodicea,Estudio de Dios al margen de las creencias religiosas.
Teofanía,Manifestación de la divinidad de Dios.
Tísico,Afectado por una tuberculosis que afecta a los pulmones.
Tribulación,"Pena, disgusto o aflicción muy grande que siente una persona. Situación adversa o desfavorable que padece una persona."
Trocar,"Instrumento de cirugía, a modo de punzón cilíndrico, con punta de tres aristas cortantes, revestido de una cánula."
Tropel,"Conjunto numeroso de personas, animales o cosas que avanzan o se mueven de forma rápida, ruidosa y desordenada."
Ubicuo,
Ufano,Que está o se muestra satisfecho y contento.
Ulterior,"Que se dice, sucede o se ejecuta después de otra cosa. Situado de la parte de allá de un sitio o territorio."
Verga,Vara o palo delgado.
Vericueto,"Camino estrecho, tortuoso, accidentado y generalmente alto por el que es difícil andar."
Vituperar,Criticar o censurar con dureza algo o a alguien.
Volatinero,"Persona que con habilidad y arte anda y voltea por el aire sobre una cuerda o un alambre, y hace otros ejercicios semejantes."
Voluptuoso,Dado a los placeres o deleites sensuales. Complaciente en ellos.
Zaherir,Decir o hacer algo a alguien con lo que se sienta humillado o mortificado.
Zampuzar,