Nombre del Libro,Autor,Género,Files & media
¿Puede una máquina pensar?,Alan Turing,Programación,https://info-biblioteca.mincyt.gob.ve/wp-content/uploads/2024/11/Puede-pensar-una-maquina_-Alan-M.-Turing.pdf
20.000 Leguas de Viaje Submarino,Julio Verne,Aventuras,
1984,George Orwell,Utopía,
A Balada dos Unicornios,Ledicia Costas,Juvenil,
A Esmorga,Eduardo Blanco Amor,Clásico,
A viaxe de Gagarin,Agustín Fernández Paz,Drama,
Apocalipsis Z: El principio del fin,Manel Loureiro,Ciencia Ficción,
Apocalipsis Z: La ira de los justos,Manel Loureiro,Ciencia Ficción,
Apocalipsis Z: Los días oscuros,Manel Loureiro,Ciencia Ficción,
As peripecias de Estravaganzza Pérez,Ledicia Costas,Juvenil,
Así habló Zaratustra,Friedrich Nietzsche,Filosofía,
Calígula,Albert Camus,Filosofía,http://www.ctvteatro.com/Biblioteca/Albert.Camus/Camus%20Albert%20-%20Caligula.pdf
Cicatriz,Juan Gómez-Jurado,Novela Policíaca,
Cien años de Soledad,Gabriel García Márquez,Realismo Mágico,https://www.sev.gob.mx/clasesdesdecasa/documentos/c8cf01c83fcd163f06e727cabcff90ac100-a%C3%B1os-de-soledad-Gabriel-Garc%C3%ADa-Marquez.pdf
Coplas a la Muerte de su Padre,Jorge Manrique,Poesía,https://web.seducoahuila.gob.mx/biblioweb/upload/CoplasMuerte.pdf
Crítica al Programa de Gotha,Karl Marx,Filosofía,
Crónica de una Muerte Anunciada,Gabriel García Márquez,Realismo Mágico,
Discurso del Método,René Descartes,Filosofía,
El ABC de la Electónica,Steren,Electrónica,
El Aleph,Jorge Luis Borges,Filosofía,https://ens9004-infd.mendoza.edu.ar/sitio/literatura-argentina/upload/0010-_BORGES_J.L._-_El-Aleph.pdf
El arbol de la ciencia,Pío Baroja,Clásico,
El arte de dirigir una batalla,"Gilles Haberey, Huges Perot",Guerra,
El arte de la guerra,Sun Tzu,Filosofía,
El Buscón,Fracisco de Quevedo,Clásico,
El conde Lucanor,Don Juan Manuel,Clásico,
El Contrato Social,Jean-Jacques Rousseau,Filosofía,"https://www.secst.cl/upfiles/documentos/01082016_923am_579f698613e3b.pdf, https://www.rousseauonline.ch/pdf/rousseauonline-0004.pdf"
El Corazón de las Tinieblas,Joseph Conrad,Aventuras,
El imperio final,Brandon Sanderson,Fantasía,https://litteratuya.wordpress.com/wp-content/uploads/2023/12/el-imperio-final.-ed.-revisada-brandon-sanderson-z-library.pdf
El Ingenioso Caballero Don Quijote de la Mancha,Miguel de Cervantes,Clásico,https://parnaseo.uv.es/lemir/revista/revista19/textos/quijote_1.pdf
El Ingenioso Hidalgo don Quijote de la Mancha,Miguel de Cervantes,Clásico,https://parnaseo.uv.es/lemir/revista/revista19/textos/quijote_1.pdf
El Lazarillo de Tormes,Anónimo,Clásico,
El Lector de Julio Verne,Almudena Grandes,Clásico,
El Paciente,Juan Gómez-Jurado,Novela Policíaca,
El programador pragmático,"Andy Hunt, Dave Thomas",Programación,
Episodios Nacionales: Bailén,Benito Pérez Galdós,Novela Histórica,
Episodios Nacionales: Trafalgar,Benito Pérez Galdós,Novela Histórica,
Estadística para todos,Eva Romero Ramos,Matemáticas,
Estructuras de Datos y Algoritmos,Mariona Nadal,Programación,
Farenheit 451,Ray Bradbury,Utopía,
Fundación,Isaac Asimov,Ciencia Ficción,
Fundación e Imperio,Isaac Asimov,Ciencia Ficción,
Futuro Imperfecto,Xulia Alonso,Drama,
"Gödel, Escher, Bach: Un eterno y gracil bucle",Douglas Hofstadter,Matemáticas,
Hábitos Atómicos,James Clear,Psicología,
Hackear al Hacker,Roger A. Grimes,Programación,
Historia de la Filosofía Occidental,Bertrand Russell,Filosofía,https://www.pensamientopenal.com.ar/system/files/2016/08/doctrina44022.pdf
Historia de la Física,James Hopwood Jeans,Física,
Inteligencia Matemática,Eduardo Sáenz de Cabezón,Matemáticas,
Introducción a la Economía,Juan Torres-López,Economía,
La Celestina,Fernando de Rojas,Clásico,https://www.suneo.mx/literatura/subidas/Camilo%20Jos%C3%A9%20Cela%20%20La%20Familia%20de%20Pascual%20Duarte.pdf
La Colmena,Camilo José Cela,Clásico,https://vozobrera.org/periodico/wp-content/uploads/2016/04/La-Colmena.pdf
La Ecuación de Dios,Michio Kaku,Física,
La Familia de Pacual Duarte,Camilo José Cela,Clásico,
La Fundación,Antonio Buero Vallejo,Teatro,
La insólita y gloriosa hazaña del Cipote de Archidona.,Camilo José Cela,Humor,https://templodeeros.wordpress.com/wp-content/uploads/2017/05/camilo-cela-el-cipote-de-archidona.pdf
La Metamorfosis,Franz Kafka,Ciencia Ficción,
La República,Platón,Filosofía,
La Sacra Biblia,Dios,Filosofía,
Las 4 fuerzas que rigen el universo,Jordi Pereyra,Física,
Las bases de Big Data y de la Inteligencia Artificial,"Enrique Martín, Rafael Caballero",Programación,
Lecciones Preeliminares de Filosofía,Manuel García Morente,Filosofía,
Línea de Fuego,Árturo Pérez-Reverte,Novela Histórica,
Loba Negra,Juan Gómez-Jurado,Novela Policíaca,
Los hijos del capitán Grant,Julio Verne,Aventuras,
Los juegos del hambre,Suzanne Collins,Aventuras,
Los Mitos de Cthulhu,H. P. Lovecraft,Terror,
Los pazos de Ulloa,Emilia Pardo Bazán,Clásico,
Manifiesto Comunista,Karl Marx,Filosofía,
Miguel Stroggoff,Julio Verne,Aventuras,
Niebla,Miguel de Unamuno,Clásico,
O Porco de Pé,Vicente Risco,Clásico,
Ollos de Auga,Domingo Villar,Novela Policíaca,
Pedro Páramo,Juan Rulfo,Drama,https://web.seducoahuila.gob.mx/biblioweb/upload/Juan%20Rulfo%20-%20Pedro%20P%C3%A1ramo.pdf
Por quién doblan las Campanas,Ernest Hemingway,Guerra,https://content.ikon.mn/banners/2015/4/9/1468/Hemingwey-for-whom-the-bell-24grammata.compdf.pdf
Rebelión en la granja,George Orwell,Utopía,https://www.arvindguptatoys.com/arvindgupta/orwellanimalfarm.pdf
Reina Roja,Juan Gómez-Jurado,Novela Policíaca,
Rey Blanco,Juan Gómez-Jurado,Novela Policíaca,
Rimas y Leyendas,Gustavo Adolfo Bécquer,Clásico,
Romancero Gitano,Federico García Lorca,Poesía,
Se anuncia un asesinato,Agatha Christie,Thriller,
Segunda Fundación,Isaac Asimov,Ciencia Ficción,
Sidi,Árturo Pérez-Reverte,Novela Histórica,
Sin Trancisión. Una nueva historia de la energía,Jean-Baptiste Fressoz,Ensayo,
The C Programming Language,"Brian W. Kernighan, Dennis M. Ritchie",Programación,
Tirano Bandera,Ramón María del Valle-Inclán,Aventuras,https://www.cervantesvirtual.com/obra/tirano-banderas-novela-de-tierra-caliente-875797/
Tres pasos polo misterio,Agustín Fernández Paz,Intriga,
Una historia de España,Árturo Pérez-Reverte,Novela Histórica,
Viaje a la Luna,Julio Verne,Aventuras,